124.150.110.226 - - [26/Jun/2008:06:48:29 +0000] "GET / HTTP/1.1" 200 99 "-" "Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.8.1.14) Gecko/20080419 Ubuntu/8.04 (hardy) Firefox/2.0.0.14"
66.249.70.40 - - [26/Jun/2008:08:41:18 +0000] "GET /robots.txt HTTP/1.1" 404 148 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.70.40 - - [26/Jun/2008:08:41:18 +0000] "GET / HTTP/1.1" 200 99 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.70.40 - - [26/Jun/2008:12:25:56 +0000] "GET / HTTP/1.1" 200 99 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.70.40 - - [27/Jun/2008:22:17:45 +0000] "GET /robots.txt HTTP/1.1" 404 148 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.70.40 - - [27/Jun/2008:22:17:45 +0000] "GET / HTTP/1.1" 200 99 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
65.55.211.90 - - [27/Jun/2008:23:30:16 +0000] "GET / HTTP/1.1" 200 99 "-" "msnbot/1.1 (+http://search.msn.com/msnbot.htm)"
65.55.211.90 - - [27/Jun/2008:23:33:52 +0000] "GET /robots.txt HTTP/1.1" 404 148 "-" "msnbot/1.1 (+http://search.msn.com/msnbot.htm)"
65.55.211.90 - - [27/Jun/2008:23:33:52 +0000] "GET / HTTP/1.1" 200 99 "-" "msnbot/1.1 (+http://search.msn.com/msnbot.htm)"
66.249.70.40 - - [29/Jun/2008:12:37:33 +0000] "GET /robots.txt HTTP/1.1" 404 148 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.70.40 - - [29/Jun/2008:12:37:33 +0000] "GET / HTTP/1.1" 200 99 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.70.40 - - [29/Jun/2008:13:45:35 +0000] "GET / HTTP/1.1" 200 99 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.70.40 - - [30/Jun/2008:06:17:04 +0000] "GET /robots.txt HTTP/1.1" 404 148 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
